Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.890216787,0.011673152,0.002779322,0.087270706,0.525291829,0.474708171,0.467481934,0.136742635,0.17215428,0.82784572,0.17215428,221100,2211,29.860055,-95.3546869,"29.860055, -95.3546869 (2211)"
0.864864865,0.015181849,0.004004004,0.115115115,0.513847181,0.486152819,0.460126793,0.143810477,0.199319535,0.800680465,0.199319535,221200,2212,29.8645953,-95.3740348,"29.8645953, -95.3740348 (2212)"
0.898172931,0.012684743,0.004887699,0.081461655,0.509600838,0.490399162,0.468404515,0.135109973,0.10061689,0.89938311,0.10061689,221300,2213,29.8523942,-95.3727789,"29.8523942, -95.3727789 (2213)"
0.891314975,0.026234316,0.004725436,0.076258758,0.532018902,0.467981098,0.49193417,0.115854652,0.119019492,0.880980508,0.119019492,221400,2214,29.8534357,-95.391567,"29.8534357, -95.391567 (2214)"
0.767647415,0.152197603,0.005569682,0.07058966,0.497881099,0.502118901,0.503450781,0.102675869,0.140425532,0.859574468,0.140425532,221500,2215,29.8671492,-95.3950346,"29.8671492, -95.3950346 (2215)"
0.819247044,0.016708256,0.005424759,0.150265813,0.513507649,0.486492351,0.451990886,0.13572746,0.183296527,0.816703473,0.183296527,221600,2216,29.8792764,-95.4010173,"29.8792764, -95.4010173 (2216)"
0.888538508,0.007277138,0.004002426,0.083687083,0.52371134,0.47628866,0.475197089,0.109399636,0.217910448,0.782089552,0.217910448,221700,2217,29.8802173,-95.3785577,"29.8802173, -95.3785577 (2217)"
0.913185531,0.003500583,0.000933489,0.080980163,0.527887981,0.472112019,0.470011669,0.113185531,0.100298507,0.899701493,0.100298507,221800,2218,29.882525,-95.3610554,"29.882525, -95.3610554 (2218)"
0.899345336,0.012684124,0.002864157,0.083878887,0.518412439,0.481587561,0.448649755,0.120499182,0.149817851,0.850182149,0.149817851,221900,2219,29.8818677,-95.3491038,"29.8818677, -95.3491038 (2219)"
0.859992022,0.046669326,0.007578779,0.085360989,0.544475469,0.455524531,0.49102513,0.141204627,0.074043938,0.925956062,0.074043938,222000,2220,29.8680795,-95.336921,"29.8680795, -95.336921 (2220)"
0.88133784,0.019213663,0.006048746,0.089307952,0.511474827,0.488525173,0.444227006,0.136452589,0.139418255,0.860581745,0.139418255,222100,2221,29.8797791,-95.3349059,"29.8797791, -95.3349059 (2221)"
0.837895867,0.077831455,0.010198604,0.072732152,0.540257649,0.459742351,0.468330649,0.127482555,0.134595701,0.865404299,0.134595701,222200,2222,29.892562,-95.3254249,"29.892562, -95.3254249 (2222)"
