GEOID,Total Population,18-21 years,22-29 years,30-39 years,40-49 years,65 years and over,Hispanic,Black non-Hispanic,Other non-Hispanic,White non-hispanic,Male,Female,Education Total,Less than high school,High school,College,tract_x,tract_y,latitude,longitude,google_loc,Age50_64
48201431302,3929,64,363,707,559,495,412,115,70,3135,1928,2001,2932,32,244,2656,431302,4313.02,29.7436541,-95.4903777,"29.7436541, -95.4903777 (4313.02)",804
48201431401,2339,57,623,540,292,214,539,152,66,1362,1135,1204,1986,44,201,1741,431401,4314.01,29.744466,-95.4839917,"29.744466, -95.4839917 (4314.01)",354
48201431402,3209,68,741,768,471,270,445,180,92,2093,1481,1728,2802,41,146,2615,431402,4314.02,29.7438971,-95.4798223,"29.7438971, -95.4798223 (4314.02)",639
48201431501,3711,35,556,625,518,750,424,86,83,2795,1619,2092,3136,16,302,2818,431501,4315.01,29.7557651,-95.4812331,"29.7557651, -95.4812331 (4315.01)",897
48201431502,3471,57,433,522,452,586,310,47,48,2818,1662,1809,2714,57,228,2429,431502,4315.02,29.7535577,-95.4926186,"29.7535577, -95.4926186 (4315.02)",817
48201431600,3352,70,178,254,366,1053,224,41,45,2981,1502,1850,2665,60,139,2466,431600,4316,29.764816,-95.4842774,"29.764816, -95.4842774 (4316)",923
48201431700,4591,92,259,292,531,1303,372,90,77,3845,2211,2380,3730,55,249,3426,431700,4317,29.7580513,-95.4678532,"29.7580513, -95.4678532 (4317)",1459
48201431801,2967,74,578,485,377,492,314,76,62,1899,1482,1485,2161,17,327,1817,431801,4318.01,29.743985,-95.4725696,"29.743985, -95.4725696 (4318.01)",532
48201431802,3695,84,774,856,529,442,630,237,101,2246,1897,1798,2379,39,107,2233,431802,4318.02,29.7475745,-95.4622381,"29.7475745, -95.4622381 (4318.02)",690
48201431900,3786,77,1220,835,358,510,634,300,76,2236,1878,1908,2759,95,248,2416,431900,4319,29.7341758,-95.4628741,"29.7341758, -95.4628741 (4319)",557
48201432001,3464,137,615,728,539,239,905,429,91,1571,1820,1644,2128,81,161,1886,432001,4320.01,29.7346882,-95.4789004,"29.7346882, -95.4789004 (4320.01)",645
48201432002,4734,401,1393,1024,557,124,2569,808,128,994,2734,2000,3274,871,658,1745,432002,4320.02,29.7346383,-95.4954397,"29.7346383, -95.4954397 (4320.02)",453
48201432100,5054,354,1276,1077,533,264,1963,902,155,1487,2700,2354,3012,658,556,1798,432100,4321,29.7336079,-95.5113714,"29.7336079, -95.5113714 (4321)",594
